,Name,Rating,Reviews,Company type,Headquater & Branches,Age,Employees
152,Vasu Healthcare,4.0,71,Healthcare,Vadodara/Baroda +12 more,Vadodara/Baroda +12 more,51-200 Employees
153,Smile Foundation,4.0,71,Non-Profit,Delhi/NCR +16 more,Delhi/NCR +16 more,501-1k Employees
154,Secure Parking Solutions,4.5,71,Urban Transport,Mumbai +15 more,Mumbai +15 more,1k-5k Employees
155,Continental Carbon India,4.1,71,Chemicals,Ghaziabad +3 more,Ghaziabad +3 more,201-500 Employees
156,Envision Enterprise Solutions,2.9,71,IT Services & Consulting,New Jersey +2 more,New Jersey +2 more,51-200 Employees
157,Busy Infotech,3.9,71,Software Product,New Delhi +7 more,New Delhi +7 more,51-200 Employees
158,Manikgarh Cement,4.0,71,Building Material,Chandrapur +11 more,Chandrapur +11 more,201-500 Employees
159,Amalgamations Valeo Clutch,4.2,71,Auto Components,Chennai +4 more,Chennai +4 more,501-1k Employees
160,Park Avenue,4.1,75,Beauty & Personal Care,Thane +32 more,Thane +32 more,1k-5k Employees
161,Bikaji Foods,3.8,75,FMCG,Bikaner +16 more,36 years old,1k-5k Employees
162,Prumatech Services,4.0,75,Industrial Machinery,Chennai +7 more,Chennai +7 more,11-50 Employees
163,Nissin Abc Logistics,4.4,75,Logistics,Gurugram +12 more,Gurugram +12 more,51-200 Employees
164,Cambridge School,3.9,75,Education & Training,New Delhi +25 more,New Delhi +25 more,51-200 Employees
165,Kohinoor Group,3.7,75,Real Estate,Mumbai +5 more,Mumbai +5 more,1k-5k Employees (Global)
166,Loyal Textile Mills,3.4,75,Fashion & Textile,Chennai +6 more,77 years old,1k-5k Employees
167,Bsa Corporation,3.8,75,Auto Components,Sawardari +13 more,23 years old,10k-50k Employees
168,Gadre Marine Export,3.6,75,Food Processing,Ratnagiri +8 more,Ratnagiri +8 more,1k-5k Employees
169,Scorpion Express,3.7,75,Logistics,Mumbai +26 more,Mumbai +26 more,501-1k Employees
170,Vivo Life Sciences,4.0,75,Pharma,Secunderabad +13 more,Secunderabad +13 more,51-200 Employees
171,ZTT,3.6,75,Industrial Machinery,Nantong +13 more,Nantong +13 more,51-200 Employees
172,Bafna Motors,3.9,75,Automobile,Navi Mumbai +12 more,67 years old,201-500 Employees
173,Tarento Technologies,4.4,75,IT Services & Consulting,Stockholm +2 more,Stockholm +2 more,201-500 Employees
174,Ilensys Technologies,4.2,75,IT Services & Consulting,Hyderabad +1 more,Hyderabad +1 more,201-500 Employees
175,Telecommunications Consultants,3.9,75,Telecom,Delhi/NCR +25 more,45 years old,1k-5k Employees
